2025-01-06 13:23:29,0,0,0,0,0
2025-01-06 13:28:32,0,0,0,0,0
2025-01-06 13:38:56,0,0,0,0,0
2025-01-06 13:38:56,0,0,0,0,0
2025-01-06 13:39:03,0,0,0,0,0
2025-01-06 13:40:23,0,0,0,0,0
2025-01-06 13:40:31,0,0,0,0,0
2025-01-06 13:41:34,0,0,0,0,0
2025-01-06 13:41:52,0,0,0,0,0
2025-01-06 13:44:34,0,0,0,0,0
2025-01-06 13:45:46,0,0,0,0,0
2025-01-06 13:46:08,0,0,0,0,0
2025-01-06 14:13:31,0,0,0,0,0
2025-01-06 14:16:15,0,0,0,0,0
2025-01-06 14:19:35,321,0,449,0,0
2025-01-06 14:42:01,321,0,449,0,0
2025-01-06 14:57:26,321,0,449,0,0
2025-01-06 14:57:35,321,0,449,0,0
2025-01-06 14:57:40,321,0,449,0,0
2025-01-06 14:58:12,181,0,0,0,0
2025-01-06 15:37:35,321,0,449,0,0
2025-01-06 15:43:49,321,0,449,0,0
2025-01-06 15:46:20,321,0,449,0,0
2025-01-06 15:51:19,321,0,449,0,0
2025-01-06 15:56:38,321,0,449,0,0
2025-01-06 16:01:31,321,0,449,0,0
2025-01-06 16:06:27,321,0,449,0,0
